date,hospital,ed_trolleys,ward_trolleys,total_trolleys,total_color,surge,delayed,delayed_color,gt_24hrs,gt_75_24hrs
19/01/2026,National Total,302,129,431,red,811,450,red,115,7
19/01/2026,Beaumont Hospital,0,0,0,green,27,11,none,,
19/01/2026,Cavan General Hospital,9,0,9,green,13,2,none,,
19/01/2026,Connolly Hospital,5,0,5,green,4,8,none,,
19/01/2026,Louth County Hospital,,,,none,,0,none,,
19/01/2026,Mater Misericordiae University Hospital,14,0,14,green,37,15,none,,
19/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
19/01/2026,Our Lady of Lourdes Hospital,15,0,15,amber,58,10,none,,
19/01/2026,Our Lady's Hospital Navan,0,0,0,green,26,1,none,,
19/01/2026,CHI at Crumlin,4,0,4,amber,0,1,none,,
19/01/2026,CHI at Tallaght,1,0,1,green,0,1,none,1,
19/01/2026,CHI at Temple Street,1,0,1,green,0,0,none,,
19/01/2026,MRH Mullingar,7,0,7,green,25,4,none,,
19/01/2026,MRH Portlaoise,3,0,3,green,23,9,red,,
19/01/2026,MRH Tullamore,0,0,0,green,52,9,red,,
19/01/2026,Naas General Hospital,10,0,10,amber,25,18,red,1,
19/01/2026,St. James's Hospital,21,0,21,red,35,34,red,2,
19/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
19/01/2026,Tallaght University Hospital,25,12,37,red,36,12,none,19,1
19/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
19/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
19/01/2026,St Luke's General Hospital Kilkenny,8,7,15,red,33,14,red,4,
19/01/2026,St. Michael's Hospital,,,,none,,7,red,,
19/01/2026,St. Vincent's University Hospital,40,3,43,red,50,20,none,7,2
19/01/2026,Tipperary University Hospital,8,0,8,green,36,12,red,1,
19/01/2026,UH Waterford,0,0,0,green,7,20,none,,
19/01/2026,Wexford General Hospital,0,1,1,green,33,5,none,,
19/01/2026,Bantry General Hospital,,,,none,,11,red,,
19/01/2026,Cork University Hospital,25,10,35,red,42,25,red,3,1
19/01/2026,Mallow General Hospital,,,,none,,6,red,,
19/01/2026,Mercy University Hospital,14,1,15,red,24,16,red,7,
19/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
19/01/2026,UH Kerry,4,0,4,green,19,14,red,,
19/01/2026,Ennis Hospital,,,,none,,3,red,,
19/01/2026,Nenagh Hospital,,,,none,,2,none,,
19/01/2026,St. John's Hospital Limerick,,,,none,,5,red,,
19/01/2026,UH Limerick,21,57,78,red,47,12,none,41,
19/01/2026,Galway University Hospital,24,21,45,red,72,45,red,16,
19/01/2026,Letterkenny University Hospital,10,4,14,red,14,35,red,1,
19/01/2026,Mayo University Hospital,21,12,33,red,15,8,none,12,3
19/01/2026,Portiuncula University Hospital,5,0,5,green,27,5,none,,
19/01/2026,Roscommon University Hospital,,,,none,,8,red,,
19/01/2026,Sligo University Hospital,7,1,8,green,31,26,red,,
