Region,Date,Value
HSE Dublin and Midlands,2023-01-01,0.9001159015217526
HSE Dublin and Midlands,2023-01-08,6.857584033243043
HSE Dublin and Midlands,2023-01-15,5.5213294990251836
HSE Dublin and Midlands,2023-01-22,5.2893408646123605
HSE Dublin and Midlands,2023-01-29,4.2221931463133755
HSE Dublin and Midlands,2023-02-05,4.49129996223225
HSE Dublin and Midlands,2023-02-12,5.252222683106309
HSE Dublin and Midlands,2023-02-19,5.632684043543338
HSE Dublin and Midlands,2023-02-26,6.170897675381087
HSE Dublin and Midlands,2023-03-05,5.577006771284261
HSE Dublin and Midlands,2023-03-12,7.599947663364077
HSE Dublin and Midlands,2023-03-19,6.412165855170423
HSE Dublin and Midlands,2023-03-26,6.996777213890737
HSE Dublin and Midlands,2023-04-02,6.653434034959759
HSE Dublin and Midlands,2023-04-09,4.546977234491328
HSE Dublin and Midlands,2023-04-16,5.2151045016002575
HSE Dublin and Midlands,2023-04-23,5.725479497308467
HSE Dublin and Midlands,2023-04-30,5.753318133438007
HSE Dublin and Midlands,2023-05-07,6.7369499433483755
HSE Dublin and Midlands,2023-05-14,7.405077210457305
HSE Dublin and Midlands,2023-05-21,4.825363595786715
HSE Dublin and Midlands,2023-05-28,4.639772688256457
HSE Dublin and Midlands,2023-06-04,4.194354510183837
HSE Dublin and Midlands,2023-06-11,3.2385613364030066
HSE Dublin and Midlands,2023-06-18,4.482020416855737
HSE Dublin and Midlands,2023-06-25,4.621213597503431
HSE Dublin and Midlands,2023-07-02,5.187265865470719
HSE Dublin and Midlands,2023-07-09,5.131588593211641
HSE Dublin and Midlands,2023-07-16,4.6768908697625085
HSE Dublin and Midlands,2023-07-23,2.4590795247759223
HSE Dublin and Midlands,2023-07-30,2.7189067953182837
HSE Dublin and Midlands,2023-08-06,2.7467454314478226
HSE Dublin and Midlands,2023-08-13,2.820981794459926
HSE Dublin and Midlands,2023-08-20,4.194354510183837
HSE Dublin and Midlands,2023-08-27,3.5911840607104977
HSE Dublin and Midlands,2023-09-03,3.8417317858763464
HSE Dublin and Midlands,2023-09-10,4.695449960515534
HSE Dublin and Midlands,2023-09-17,4.584095415997379
HSE Dublin and Midlands,2023-09-24,4.435622689973172
HSE Dublin and Midlands,2023-10-01,5.632684043543338
HSE Dublin and Midlands,2023-10-08,5.5120499536486705
HSE Dublin and Midlands,2023-10-15,5.706920406555442
HSE Dublin and Midlands,2023-10-22,4.49129996223225
HSE Dublin and Midlands,2023-10-29,5.066631775576051
HSE Dublin and Midlands,2023-11-05,6.013145403980368
HSE Dublin and Midlands,2023-11-12,6.690552216465811
HSE Dublin and Midlands,2023-11-19,5.911070404838726
HSE Dublin and Midlands,2023-11-26,4.546977234491328
HSE Dublin and Midlands,2023-12-03,4.407784053843634
HSE Dublin and Midlands,2023-12-10,6.634874944206733
HSE Dublin and Midlands,2023-12-17,6.653434034959759
HSE Dublin and Midlands,2023-12-24,2.561154523917564
HSE Dublin and Midlands,2023-12-31,1.0857068090520108
HSE Dublin and Midlands,2024-01-07,4.082999965665682
HSE Dublin and Midlands,2024-01-14,3.9530863303945014
HSE Dublin and Midlands,2024-01-21,4.435622689973172
HSE Dublin and Midlands,2024-01-28,5.140868138588154
HSE Dublin and Midlands,2024-02-04,3.9438067850179883
HSE Dublin and Midlands,2024-02-11,4.71400905126856
HSE Dublin and Midlands,2024-02-18,3.8231726951233203
HSE Dublin and Midlands,2024-02-25,4.584095415997379
HSE Dublin and Midlands,2024-03-03,5.038793139446512
HSE Dublin and Midlands,2024-03-10,4.751127232774612
HSE Dublin and Midlands,2024-03-17,4.87176132266928
HSE Dublin and Midlands,2024-03-24,3.9994840572770656
HSE Dublin and Midlands,2024-03-31,4.482020416855737
HSE Dublin and Midlands,2024-04-07,4.751127232774612
HSE Dublin and Midlands,2024-04-14,5.0666317755760515
HSE Dublin and Midlands,2024-04-21,4.537697689114815
HSE Dublin and Midlands,2024-04-28,3.4055931531802393
HSE Dublin and Midlands,2024-05-05,3.5076681523218816
HSE Dublin and Midlands,2024-05-12,3.0251317927432098
HSE Dublin and Midlands,2024-05-19,4.342827236208043
HSE Dublin and Midlands,2024-05-26,3.7118181506051657
HSE Dublin and Midlands,2024-06-02,4.500579507608763
HSE Dublin and Midlands,2024-06-09,4.26859087319594
HSE Dublin and Midlands,2024-06-16,3.841731785876346
HSE Dublin and Midlands,2024-06-23,3.331356790168136
HSE Dublin and Midlands,2024-06-30,3.0715295196257744
HSE Dublin and Midlands,2024-07-07,2.3106067987517154
HSE Dublin and Midlands,2024-07-14,2.394122707140332
HSE Dublin and Midlands,2024-07-21,3.0808090650022875
HSE Dublin and Midlands,2024-07-28,3.544786333827933
HSE Dublin and Midlands,2024-08-04,3.201443154896955
HSE Dublin and Midlands,2024-08-11,3.108647701131826
HSE Dublin and Midlands,2024-08-18,3.0436908834962355
HSE Dublin and Midlands,2024-08-25,2.4312408886463834
HSE Dublin and Midlands,2024-09-01,3.3035181540385974
HSE Dublin and Midlands,2024-09-08,2.7189067953182837
HSE Dublin and Midlands,2024-09-15,1.9672636198207376
HSE Dublin and Midlands,2024-09-22,3.238561336403007
HSE Dublin and Midlands,2024-09-29,3.257120427156033
HSE Dublin and Midlands,2024-10-06,3.8417317858763464
HSE Dublin and Midlands,2024-10-13,4.20363405556035
HSE Dublin and Midlands,2024-10-20,3.1828840641439293
HSE Dublin and Midlands,2024-10-27,3.127206791884852
HSE Dublin and Midlands,2024-11-03,2.9880136112371583
HSE Dublin and Midlands,2024-11-10,3.3591954262976746
HSE Dublin and Midlands,2024-11-17,3.7582158774877303
HSE Dublin and Midlands,2024-11-24,3.4798295161923427
HSE Dublin and Midlands,2024-12-01,4.519138598361789
HSE Dublin and Midlands,2024-12-08,4.120118147171734
HSE Dublin and Midlands,2024-12-15,4.816084050410202
HSE Dublin and Midlands,2024-12-22,4.639772688256457
HSE Dublin and Midlands,2024-12-29,1.503286350995092
HSE Dublin and Midlands,2025-01-05,3.9252476942649626
HSE Dublin and Midlands,2025-01-12,5.428534045260054
HSE Dublin and Midlands,2025-01-19,4.42634314459666
HSE Dublin and Midlands,2025-01-26,3.544786333827933
HSE Dublin and Midlands,2025-02-02,4.361386326961069
HSE Dublin and Midlands,2025-02-09,3.971645421147527
HSE Dublin and Midlands,2025-02-16,4.444902235349685
HSE Dublin and Midlands,2025-02-23,4.482020416855738
HSE Dublin and Midlands,2025-03-02,4.500579507608763
HSE Dublin and Midlands,2025-03-09,3.6004636060870103
HSE Dublin and Midlands,2025-03-16,3.117927246508339
HSE Dublin and Midlands,2025-03-23,2.6353908869296676
HSE Dublin and Midlands,2025-03-30,3.3684749716741873
HSE Dublin and Midlands,2025-04-06,2.4405204340228965
HSE Dublin and Midlands,2025-04-13,3.340636335544649
HSE Dublin and Midlands,2025-04-20,3.962365875771014
HSE Dublin and Midlands,2025-04-27,3.8602908766293718
HSE Dublin and Midlands,2025-05-04,2.4219613432698703
HSE Dublin and Midlands,2025-05-11,2.394122707140332
HSE Dublin and Midlands,2025-05-18,2.691068159188745
HSE Dublin and Midlands,2025-05-25,3.0715295196257744
HSE Dublin and Midlands,2025-06-01,2.783863612953874
HSE Dublin and Midlands,2025-06-08,1.6795977131488373
HSE Dublin and Midlands,2025-06-15,2.3106067987517154
HSE Dublin and Midlands,2025-06-22,3.683979514475627
HSE Dublin and Midlands,2025-06-29,2.728186340694797
HSE Dublin and Midlands,2025-07-06,2.6353908869296676
HSE Dublin and Midlands,2025-07-13,1.7445545307844277
HSE Dublin and Midlands,2025-07-20,1.9858227105737636
HSE Dublin and Midlands,2025-07-27,1.8187908937965311
HSE Dublin and Midlands,2025-08-03,2.022940892079815
HSE Dublin and Midlands,2025-08-10,1.8651886206790955
HSE Dublin and Midlands,2025-08-17,2.5240363424115126
HSE Dublin and Midlands,2025-08-24,1.4290499879829888
HSE Dublin and Midlands,2025-08-31,2.570434069294077
HSE Dublin and Midlands,2025-09-07,2.5333158877880257
HSE Dublin and Midlands,2025-09-14,1.8002318030435052
HSE Dublin and Midlands,2025-09-21,1.9672636198207378
HSE Dublin and Midlands,2025-09-28,1.7074363492783762
HSE Dublin and Midlands,2025-10-05,2.4219613432698703
HSE Dublin and Midlands,2025-10-12,2.4683590701524354
HSE Dublin and Midlands,2025-10-19,1.7352749854079148
HSE Dublin and Midlands,2025-10-26,1.716715894654889
HSE Dublin and Midlands,2025-11-02,2.273488617245664
HSE Dublin and Midlands,2025-11-09,2.746745431447822
HSE Dublin and Midlands,2025-11-16,2.895218157472029
HSE Dublin and North East,2023-01-01,0.6823454487558569
HSE Dublin and North East,2023-01-08,4.953322516894368
HSE Dublin and North East,2023-01-15,3.2853669754911623
HSE Dublin and North East,2023-01-22,2.426117151131935
HSE Dublin and North East,2023-01-29,2.021764292609946
HSE Dublin and North East,2023-02-05,1.726923666604329
HSE Dublin and North East,2023-02-12,1.760619738147828
HSE Dublin and North East,2023-02-19,3.479119386866282
