Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
02/06/2024,Beaumont Hospital,0,0,0,0,10,,
02/06/2024,Cavan General Hospital,5,0,5,5,0,,
02/06/2024,Connolly Hospital,0,0,0,0,5,,
02/06/2024,Louth County Hospital,,,,,0,,
02/06/2024,Mater Misericordiae University Hospital,0,0,0,0,18,,
02/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
02/06/2024,Our Lady of Lourdes Hospital,0,0,0,15,1,,
02/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
02/06/2024,HSE Dublin and North East Total,5,0,5,20,35,0,0
02/06/2024,CHI at Crumlin,1,,1,,3,,
02/06/2024,CHI at Tallaght,1,0,1,0,2,,
02/06/2024,CHI at Temple Street,1,0,1,0,3,,
02/06/2024,MRH Mullingar,0,0,0,6,1,,
02/06/2024,MRH Portlaoise,0,0,0,6,5,,
02/06/2024,MRH Tullamore,0,0,0,0,4,,
02/06/2024,Naas General Hospital,7,0,7,0,10,,
02/06/2024,St. James's Hospital,3,0,3,17,36,,
02/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
02/06/2024,Tallaght University Hospital,13,0,13,14,15,1,
02/06/2024,HSE Dublin and Midlands Total,26,0,26,43,79,1,0
02/06/2024,National Rehabilitation Hospital,,,,,9,,
02/06/2024,St. Columcille's Hospital,,,,,3,,
02/06/2024,St Luke's General Hospital Kilkenny,0,0,0,17,7,,
02/06/2024,St. Michael's Hospital,,,,,3,,
02/06/2024,St. Vincent's University Hospital,13,0,13,50,28,2,1
02/06/2024,Tipperary University Hospital,0,0,0,0,12,,
02/06/2024,UH Waterford,0,0,0,0,15,,
02/06/2024,Wexford General Hospital,2,0,2,13,8,,
02/06/2024,HSE Dublin and South East Total,15,0,15,80,85,2,1
02/06/2024,Bantry General Hospital,,,,,4,,
02/06/2024,Cork University Hospital,4,0,4,20,35,1,
02/06/2024,Mallow General Hospital,,,,,3,,
02/06/2024,Mercy University Hospital,4,0,4,7,10,,
02/06/2024,South Infirmary Victoria University Hospital,,,,,5,,
02/06/2024,UH Kerry,9,0,9,11,21,1,
02/06/2024,HSE South West Total,17,0,17,38,78,2,0
02/06/2024,Ennis Hospital,,,,,6,,
02/06/2024,Nenagh Hospital,,,,,4,,
02/06/2024,St. John's Hospital Limerick,,,,,1,,
02/06/2024,UH Limerick,6,23,29,34,13,4,1
02/06/2024,HSE Mid West Total,6,23,29,34,24,4,1
02/06/2024,Galway University Hospital,13,0,13,23,31,1,1
02/06/2024,Letterkenny University Hospital,2,0,2,0,28,,
02/06/2024,Mayo University Hospital,3,1,4,0,4,,
02/06/2024,Portiuncula University Hospital,0,0,0,0,4,,
02/06/2024,Roscommon University Hospital,,,,,6,,
02/06/2024,Sligo University Hospital,3,6,9,10,26,2,
02/06/2024,HSE West and North West Total,21,7,28,33,99,3,1
02/06/2024,National Total,90,30,120,248,400,12,3
03/06/2024,Beaumont Hospital,0,0,0,11,10,,
03/06/2024,Cavan General Hospital,3,0,3,5,0,,
03/06/2024,Connolly Hospital,2,0,2,0,5,,
03/06/2024,Louth County Hospital,,,,,0,,
03/06/2024,Mater Misericordiae University Hospital,9,0,9,8,18,,
03/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,
03/06/2024,Our Lady of Lourdes Hospital,9,,9,14,1,,
03/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,
03/06/2024,HSE Dublin and North East Total,23,0,23,38,35,0,0
03/06/2024,CHI at Crumlin,0,0,0,0,3,,
03/06/2024,CHI at Tallaght,0,0,0,0,2,,
03/06/2024,CHI at Temple Street,0,0,0,0,3,,
03/06/2024,MRH Mullingar,2,0,2,7,1,,
03/06/2024,MRH Portlaoise,0,0,0,4,5,,
03/06/2024,MRH Tullamore,0,0,0,0,4,,
03/06/2024,Naas General Hospital,6,0,6,0,10,,
03/06/2024,St. James's Hospital,6,0,6,19,36,1,
03/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,
03/06/2024,Tallaght University Hospital,15,0,15,17,15,5,
