Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs
01/01/2023,Beaumont Hospital,0.0,0,0.0,24.0,19,,
01/01/2023,Cavan General Hospital,14.0,1,15.0,8.0,4,,
01/01/2023,Connolly Hospital,7.0,,7.0,33.0,9,,
01/01/2023,Mater Misericordiae University Hospital,38.0,,38.0,0.0,36,5.0,
01/01/2023,Our Lady of Lourdes Hospital,17.0,1,18.0,16.0,38,,
01/01/2023,Our Lady's Hospital Navan,3.0,0,3.0,17.0,4,,
01/01/2023,CHI at Crumlin,4.0,,4.0,,,,
01/01/2023,CHI at Tallaght,0.0,0,0.0,,0,,
01/01/2023,HSE Dublin and North East Total,83.0,2,85.0,98.0,110,5.0,0
01/01/2023,CHI at Temple Street,8.0,,8.0,,,1.0,
01/01/2023,MRH Mullingar,11.0,0,11.0,11.0,1,1.0,
01/01/2023,MRH Portlaoise,8.0,,8.0,0.0,5,,
01/01/2023,MRH Tullamore,6.0,0,6.0,9.0,5,,
01/01/2023,Naas General Hospital,15.0,,15.0,0.0,14,5.0,
01/01/2023,St. James's Hospital,24.0,0,24.0,0.0,62,5.0,
01/01/2023,Tallaght University Hospital,21.0,0,21.0,0.0,42,4.0,
01/01/2023,St Luke's General Hospital Kilkenny,11.0,0,11.0,15.0,8,8.0,
01/01/2023,St. Vincent's University Hospital,33.0,0,33.0,0.0,44,10.0,
01/01/2023,Tipperary University Hospital,6.0,,6.0,21.0,2,1.0,
01/01/2023,HSE Dublin and Midlands Total,143.0,0,143.0,56.0,183,35.0,0
01/01/2023,UH Waterford,0.0,0,0.0,45.0,20,,
01/01/2023,Wexford General Hospital,13.0,1,14.0,21.0,12,1.0,
01/01/2023,Cork University Hospital,31.0,0,31.0,24.0,22,2.0,
01/01/2023,Mercy University Hospital,25.0,0,25.0,8.0,19,11.0,
01/01/2023,UH Kerry,23.0,,23.0,0.0,12,5.0,
01/01/2023,UH Limerick,36.0,12,48.0,37.0,19,14.0,
01/01/2023,Galway University Hospital,28.0,2,30.0,13.0,20,4.0,
01/01/2023,Letterkenny University Hospital,15.0,,15.0,14.0,22,3.0,
01/01/2023,HSE Dublin and South East Total,171.0,15,186.0,162.0,146,40.0,0
01/01/2023,Mayo University Hospital,12.0,5,17.0,9.0,14,10.0,
01/01/2023,Portiuncula University Hospital,9.0,0,9.0,13.0,4,1.0,
01/01/2023,Sligo University Hospital,26.0,,26.0,7.0,10,9.0,
01/01/2023,National Total,444.0,22,466.0,345.0,467,100.0,Unnamed: 20_level_1
02/01/2023,Beaumont Hospital,9.0,0,9.0,0.0,19,,
02/01/2023,Cavan General Hospital,25.0,2,27.0,10.0,4,3.0,
02/01/2023,Connolly Hospital,11.0,,11.0,39.0,9,,
02/01/2023,Mater Misericordiae University Hospital,41.0,,41.0,0.0,36,17.0,
02/01/2023,Our Lady of Lourdes Hospital,21.0,3,24.0,30.0,38,3.0,
02/01/2023,Our Lady's Hospital Navan,1.0,0,1.0,20.0,4,,
02/01/2023,CHI at Crumlin,3.0,,3.0,,,,
02/01/2023,CHI at Tallaght,0.0,,0.0,,0,,
02/01/2023,HSE Dublin and North East Total,111.0,5,116.0,99.0,110,23.0,0
02/01/2023,CHI at Temple Street,4.0,,4.0,,,,
02/01/2023,MRH Mullingar,10.0,0,10.0,11.0,1,,
02/01/2023,MRH Portlaoise,6.0,0,6.0,11.0,5,,
02/01/2023,MRH Tullamore,11.0,,11.0,18.0,5,,
02/01/2023,Naas General Hospital,31.0,,31.0,7.0,14,11.0,
02/01/2023,St. James's Hospital,23.0,0,23.0,0.0,62,3.0,
02/01/2023,Tallaght University Hospital,22.0,0,22.0,0.0,42,6.0,
02/01/2023,St Luke's General Hospital Kilkenny,12.0,6,18.0,21.0,8,4.0,
02/01/2023,St. Vincent's University Hospital,48.0,0,48.0,0.0,44,14.0,
02/01/2023,Tipperary University Hospital,8.0,0,8.0,27.0,2,1.0,
02/01/2023,HSE Dublin and Midlands Total,175.0,6,181.0,95.0,183,39.0,0
02/01/2023,UH Waterford,0.0,0,0.0,56.0,20,,
02/01/2023,Wexford General Hospital,20.0,4,24.0,25.0,12,2.0,
02/01/2023,Cork University Hospital,33.0,0,33.0,21.0,22,8.0,
02/01/2023,Mercy University Hospital,29.0,0,29.0,10.0,19,17.0,
02/01/2023,UH Kerry,28.0,0,28.0,12.0,12,11.0,
02/01/2023,UH Limerick,48.0,24,72.0,72.0,19,20.0,
02/01/2023,Galway University Hospital,27.0,6,33.0,22.0,20,6.0,
02/01/2023,Letterkenny University Hospital,38.0,,38.0,0.0,22,9.0,
02/01/2023,HSE Dublin and South East Total,223.0,34,257.0,218.0,146,73.0,0
02/01/2023,Mayo University Hospital,18.0,5,23.0,20.0,14,6.0,
02/01/2023,Portiuncula University Hospital,13.0,0,13.0,16.0,4,4.0,
02/01/2023,Sligo University Hospital,34.0,,34.0,7.0,10,22.0,
02/01/2023,National Total,574.0,50,624.0,455.0,467,167.0,Unnamed: 20_level_1
03/01/2023,Beaumont Hospital,28.0,,28.0,0.0,19,,
03/01/2023,Cavan General Hospital,12.0,2,14.0,3.0,4,3.0,
03/01/2023,Connolly Hospital,21.0,,21.0,42.0,9,4.0,
03/01/2023,Mater Misericordiae University Hospital,44.0,,44.0,0.0,36,11.0,
03/01/2023,Our Lady of Lourdes Hospital,30.0,3,33.0,26.0,38,4.0,
03/01/2023,Our Lady's Hospital Navan,10.0,,10.0,17.0,4,,
03/01/2023,CHI at Crumlin,8.0,,8.0,,,,
03/01/2023,CHI at Tallaght,6.0,,6.0,,0,1.0,
03/01/2023,HSE Dublin and North East Total,159.0,5,164.0,88.0,110,23.0,0
03/01/2023,CHI at Temple Street,9.0,,9.0,,,,
03/01/2023,MRH Mullingar,20.0,0,20.0,15.0,1,1.0,
03/01/2023,MRH Portlaoise,12.0,,12.0,11.0,5,1.0,
03/01/2023,MRH Tullamore,5.0,0,5.0,28.0,5,,
03/01/2023,Naas General Hospital,27.0,,27.0,14.0,14,12.0,
03/01/2023,St. James's Hospital,37.0,0,37.0,0.0,62,8.0,
03/01/2023,Tallaght University Hospital,33.0,0,33.0,0.0,42,6.0,
03/01/2023,St Luke's General Hospital Kilkenny,21.0,6,27.0,22.0,8,16.0,
03/01/2023,St. Vincent's University Hospital,55.0,0,55.0,0.0,44,25.0,
03/01/2023,Tipperary University Hospital,18.0,0,18.0,28.0,2,5.0,
03/01/2023,HSE Dublin and Midlands Total,237.0,6,243.0,118.0,183,74.0,0
03/01/2023,UH Waterford,0.0,0,0.0,61.0,20,,
03/01/2023,Wexford General Hospital,29.0,6,35.0,40.0,12,8.0,
03/01/2023,Cork University Hospital,52.0,0,52.0,8.0,22,19.0,
03/01/2023,Mercy University Hospital,31.0,0,31.0,11.0,19,17.0,
03/01/2023,UH Kerry,40.0,0,40.0,14.0,12,19.0,
03/01/2023,UH Limerick,44.0,32,76.0,42.0,15,23.0,
03/01/2023,Galway University Hospital,45.0,7,52.0,0.0,20,17.0,
03/01/2023,Letterkenny University Hospital,28.0,13,41.0,11.0,22,19.0,
03/01/2023,HSE Dublin and South East Total,269.0,58,327.0,187.0,142,122.0,0
03/01/2023,Mayo University Hospital,15.0,9,24.0,22.0,14,11.0,
03/01/2023,Portiuncula University Hospital,-6.0,16,10.0,16.0,4,2.0,
03/01/2023,Sligo University Hospital,18.0,18,36.0,12.0,10,21.0,
03/01/2023,National Total,692.0,112,804.0,443.0,463,253.0,Unnamed: 20_level_1
04/01/2023,Beaumont Hospital,20.0,,20.0,26.0,22,,
04/01/2023,Cavan General Hospital,17.0,2,19.0,8.0,3,,
04/01/2023,Connolly Hospital,8.0,0,8.0,43.0,9,,
04/01/2023,Mater Misericordiae University Hospital,43.0,,43.0,0.0,41,14.0,
04/01/2023,Our Lady of Lourdes Hospital,16.0,1,17.0,25.0,36,,
04/01/2023,Our Lady's Hospital Navan,16.0,,16.0,17.0,4,3.0,
04/01/2023,CHI at Crumlin,6.0,,6.0,,,,
04/01/2023,CHI at Tallaght,2.0,,2.0,,0,,
04/01/2023,HSE Dublin and North East Total,128.0,3,131.0,119.0,115,17.0,0
04/01/2023,CHI at Temple Street,10.0,,10.0,,,2.0,
04/01/2023,MRH Mullingar,7.0,,7.0,0.0,0,,
04/01/2023,MRH Portlaoise,6.0,0,6.0,11.0,5,,
04/01/2023,MRH Tullamore,3.0,0,3.0,22.0,4,,
04/01/2023,Naas General Hospital,21.0,4,25.0,13.0,14,7.0,
04/01/2023,St. James's Hospital,39.0,0,39.0,0.0,59,13.0,
04/01/2023,Tallaght University Hospital,40.0,0,40.0,6.0,43,11.0,
04/01/2023,St Luke's General Hospital Kilkenny,18.0,6,24.0,26.0,8,15.0,
04/01/2023,St. Vincent's University Hospital,40.0,0,40.0,27.0,49,20.0,
04/01/2023,Tipperary University Hospital,14.0,0,14.0,29.0,2,6.0,
