,Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
0,01/01/2023,Beaumont Hospital,0.0,0,0.0,24.0,19,,,HSE Dublin and North East
1,01/01/2023,Cavan General Hospital,14.0,1,15.0,8.0,4,,,HSE Dublin and North East
2,01/01/2023,Connolly Hospital,7.0,,7.0,33.0,9,,,HSE Dublin and North East
3,01/01/2023,Mater Misericordiae University Hospital,38.0,,38.0,0.0,36,5.0,,HSE Dublin and North East
4,01/01/2023,Our Lady of Lourdes Hospital,17.0,1,18.0,16.0,38,,,HSE Dublin and North East
5,01/01/2023,Our Lady's Hospital Navan,3.0,0,3.0,17.0,4,,,HSE Dublin and North East
6,01/01/2023,CHI at Crumlin,4.0,,4.0,,,,,HSE Dublin and Midlands
7,01/01/2023,CHI at Tallaght,0.0,0,0.0,,0,,,HSE Dublin and Midlands
9,01/01/2023,CHI at Temple Street,8.0,,8.0,,,1.0,,HSE Dublin and Midlands
10,01/01/2023,MRH Mullingar,11.0,0,11.0,11.0,1,1.0,,HSE Dublin and Midlands
11,01/01/2023,MRH Portlaoise,8.0,,8.0,0.0,5,,,HSE Dublin and Midlands
12,01/01/2023,MRH Tullamore,6.0,0,6.0,9.0,5,,,HSE Dublin and Midlands
13,01/01/2023,Naas General Hospital,15.0,,15.0,0.0,14,5.0,,HSE Dublin and Midlands
14,01/01/2023,St. James's Hospital,24.0,0,24.0,0.0,62,5.0,,HSE Dublin and Midlands
15,01/01/2023,Tallaght University Hospital,21.0,0,21.0,0.0,42,4.0,,HSE Dublin and Midlands
16,01/01/2023,St Luke's General Hospital Kilkenny,11.0,0,11.0,15.0,8,8.0,,HSE Dublin and South East
17,01/01/2023,St. Vincent's University Hospital,33.0,0,33.0,0.0,44,10.0,,HSE Dublin and South East
18,01/01/2023,Tipperary University Hospital,6.0,,6.0,21.0,2,1.0,,HSE Dublin and South East
20,01/01/2023,UH Waterford,0.0,0,0.0,45.0,20,,,HSE Dublin and South East
21,01/01/2023,Wexford General Hospital,13.0,1,14.0,21.0,12,1.0,,HSE Dublin and South East
22,01/01/2023,Cork University Hospital,31.0,0,31.0,24.0,22,2.0,,HSE South West
23,01/01/2023,Mercy University Hospital,25.0,0,25.0,8.0,19,11.0,,HSE South West
24,01/01/2023,UH Kerry,23.0,,23.0,0.0,12,5.0,,HSE South West
25,01/01/2023,UH Limerick,36.0,12,48.0,37.0,19,14.0,,HSE Mid West
26,01/01/2023,Galway University Hospital,28.0,2,30.0,13.0,20,4.0,,HSE West and North West
27,01/01/2023,Letterkenny University Hospital,15.0,,15.0,14.0,22,3.0,,HSE West and North West
29,01/01/2023,Mayo University Hospital,12.0,5,17.0,9.0,14,10.0,,HSE West and North West
30,01/01/2023,Portiuncula University Hospital,9.0,0,9.0,13.0,4,1.0,,HSE West and North West
31,01/01/2023,Sligo University Hospital,26.0,,26.0,7.0,10,9.0,,HSE West and North West
33,02/01/2023,Beaumont Hospital,9.0,0,9.0,0.0,19,,,HSE Dublin and North East
34,02/01/2023,Cavan General Hospital,25.0,2,27.0,10.0,4,3.0,,HSE Dublin and North East
35,02/01/2023,Connolly Hospital,11.0,,11.0,39.0,9,,,HSE Dublin and North East
36,02/01/2023,Mater Misericordiae University Hospital,41.0,,41.0,0.0,36,17.0,,HSE Dublin and North East
37,02/01/2023,Our Lady of Lourdes Hospital,21.0,3,24.0,30.0,38,3.0,,HSE Dublin and North East
38,02/01/2023,Our Lady's Hospital Navan,1.0,0,1.0,20.0,4,,,HSE Dublin and North East
39,02/01/2023,CHI at Crumlin,3.0,,3.0,,,,,HSE Dublin and Midlands
40,02/01/2023,CHI at Tallaght,0.0,,0.0,,0,,,HSE Dublin and Midlands
42,02/01/2023,CHI at Temple Street,4.0,,4.0,,,,,HSE Dublin and Midlands
43,02/01/2023,MRH Mullingar,10.0,0,10.0,11.0,1,,,HSE Dublin and Midlands
44,02/01/2023,MRH Portlaoise,6.0,0,6.0,11.0,5,,,HSE Dublin and Midlands
45,02/01/2023,MRH Tullamore,11.0,,11.0,18.0,5,,,HSE Dublin and Midlands
46,02/01/2023,Naas General Hospital,31.0,,31.0,7.0,14,11.0,,HSE Dublin and Midlands
47,02/01/2023,St. James's Hospital,23.0,0,23.0,0.0,62,3.0,,HSE Dublin and Midlands
