Date,Hospital,ED Trolleys,Ward Trolleys,Total,Surge Capacity in Use (Full report @14:00),Delayed Transfers of Care (As of Midnight),No of Total Waiting >24hrs,No of >75+yrs Waiting >24hrs,Region
02/06/2024,Cavan General Hospital,5,0,5,5,0,,,HSE Dublin & North East
02/06/2024,Connolly Hospital,0,0,0,0,5,,,HSE Dublin & North East
02/06/2024,Louth County Hospital,,,,,0,,,HSE Dublin & North East
02/06/2024,Mater Misericordiae University Hospital,0,0,0,0,18,,,HSE Dublin & North East
02/06/2024,National Orthopaedic Hospital Cappagh,,,,,1,,,HSE Dublin & North East
02/06/2024,Our Lady of Lourdes Hospital,0,0,0,15,1,,,HSE Dublin & North East
02/06/2024,Our Lady's Hospital Navan,0,0,0,0,0,,,HSE Dublin & North East
02/06/2024,HSE Dublin and North East Total,5,0,5,20,35,0,0,
02/06/2024,CHI at Tallaght,1,0,1,0,2,,,HSE Dublin & Midlands
02/06/2024,CHI at Temple Street,1,0,1,0,3,,,HSE Dublin & Midlands
02/06/2024,MRH Mullingar,0,0,0,6,1,,,HSE Dublin & Midlands
02/06/2024,MRH Portlaoise,0,0,0,6,5,,,HSE Dublin & Midlands
02/06/2024,MRH Tullamore,0,0,0,0,4,,,HSE Dublin & Midlands
02/06/2024,Naas General Hospital,7,0,7,0,10,,,HSE Dublin & Midlands
02/06/2024,St. James's Hospital,3,0,3,17,36,,,HSE Dublin & Midlands
02/06/2024,St. Luke's Radiation Oncology Network,,,,,0,,,HSE Dublin & Midlands
02/06/2024,Tallaght University Hospital,13,0,13,14,15,1,,HSE Dublin & Midlands
02/06/2024,HSE Dublin and Midlands Total,26,0,26,43,79,1,0,
02/06/2024,St. Columcille's Hospital,,,,,3,,,HSE Dublin & South East
02/06/2024,St Luke's General Hospital Kilkenny,0,0,0,17,7,,,
02/06/2024,St. Michael's Hospital,,,,,3,,,HSE Dublin & South East
02/06/2024,St. Vincent's University Hospital,13,0,13,50,28,2,1,HSE Dublin & South East
02/06/2024,Tipperary University Hospital,0,0,0,0,12,,,HSE Dublin & South East
02/06/2024,UH Waterford,0,0,0,0,15,,,HSE Dublin & South East
02/06/2024,Wexford General Hospital,2,0,2,13,8,,,HSE Dublin & South East
02/06/2024,HSE Dublin and South East Total,15,0,15,80,85,2,1,
02/06/2024,Cork University Hospital,4,0,4,20,35,1,,HSE South West
02/06/2024,Mallow General Hospital,,,,,3,,,HSE South West
02/06/2024,Mercy University Hospital,4,0,4,7,10,,,HSE South West
02/06/2024,South Infirmary Victoria University Hospital,,,,,5,,,HSE South West
02/06/2024,UH Kerry,9,0,9,11,21,1,,HSE South West
