date,hospital,ed_trolleys,ward_trolleys,total_trolleys,total_color,surge,delayed,delayed_color,gt_24hrs,gt_75_24hrs
01/12/2025,National Total,257.0,91.0,348.0,red,514.0,419,red,63.0,7.0
01/12/2025,Beaumont Hospital,6.0,0.0,6.0,green,22.0,9,none,,
01/12/2025,Cavan General Hospital,9.0,0.0,9.0,green,9.0,1,none,,
01/12/2025,Connolly Hospital,4.0,0.0,4.0,green,7.0,5,none,,
01/12/2025,Louth County Hospital,,,,none,,0,none,,
01/12/2025,Mater Misericordiae University Hospital,14.0,0.0,14.0,green,19.0,8,none,,
01/12/2025,National Orthopaedic Hospital Cappagh,,,,none,,1,none,,
01/12/2025,Our Lady of Lourdes Hospital,12.0,0.0,12.0,green,32.0,4,none,,
01/12/2025,Our Lady's Hospital Navan,0.0,0.0,0.0,green,9.0,2,none,,
01/12/2025,CHI at Crumlin,0.0,0.0,0.0,green,0.0,2,red,,
01/12/2025,CHI at Tallaght,2.0,0.0,2.0,green,2.0,0,none,,
01/12/2025,CHI at Temple Street,0.0,0.0,0.0,green,0.0,1,none,,
01/12/2025,MRH Mullingar,6.0,0.0,6.0,green,20.0,5,red,,
01/12/2025,MRH Portlaoise,1.0,0.0,1.0,green,5.0,4,none,,
01/12/2025,MRH Tullamore,0.0,0.0,0.0,green,24.0,7,red,,
01/12/2025,Naas General Hospital,16.0,1.0,17.0,red,14.0,12,red,2.0,
01/12/2025,St. James's Hospital,29.0,0.0,29.0,red,27.0,26,red,1.0,
01/12/2025,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
01/12/2025,Tallaght University Hospital,20.0,11.0,31.0,red,30.0,8,none,13.0,3.0
01/12/2025,National Rehabilitation Hospital,,,,none,,8,none,,
01/12/2025,St. Columcille's Hospital,,,,none,,9,red,,
01/12/2025,St Luke's General Hospital Kilkenny,7.0,0.0,7.0,green,20.0,13,red,,
01/12/2025,St. Michael's Hospital,,,,none,,7,red,,
01/12/2025,St. Vincent's University Hospital,20.0,2.0,22.0,red,42.0,14,none,4.0,2.0
01/12/2025,Tipperary University Hospital,9.0,0.0,9.0,green,26.0,11,red,5.0,
01/12/2025,UH Waterford,0.0,0.0,0.0,green,16.0,17,none,,
01/12/2025,Wexford General Hospital,8.0,6.0,14.0,red,32.0,8,none,1.0,
01/12/2025,Bantry General Hospital,,,,none,,11,red,,
01/12/2025,Cork University Hospital,21.0,7.0,28.0,red,31.0,26,red,4.0,
01/12/2025,Mallow General Hospital,,,,none,,4,red,,
01/12/2025,Mercy University Hospital,8.0,5.0,13.0,red,19.0,12,red,5.0,
01/12/2025,South Infirmary Victoria University Hospital,,,,none,,2,none,,
01/12/2025,UH Kerry,13.0,5.0,18.0,red,7.0,27,red,3.0,
01/12/2025,Ennis Hospital,,,,none,,5,red,,
01/12/2025,Nenagh Hospital,,,,none,,2,none,,
01/12/2025,St. John's Hospital Limerick,,,,none,,4,red,,
