date,hospital,ed_trolleys,ward_trolleys,total_trolleys,total_color,surge,delayed,delayed_color,gt_24hrs,gt_75_24hrs
01/01/2026,National Total,53,17,70,none,211,376,red,9,2
01/01/2026,Beaumont Hospital,0,0,0,green,0,8,none,,
01/01/2026,Cavan General Hospital,0,0,0,green,0,2,none,,
01/01/2026,Connolly Hospital,0,0,0,green,0,2,none,,
01/01/2026,Louth County Hospital,,,,none,,0,none,,
01/01/2026,Mater Misericordiae University Hospital,0,0,0,green,0,7,none,,
01/01/2026,National Orthopaedic Hospital Cappagh,,,,none,,2,none,,
01/01/2026,Our Lady of Lourdes Hospital,9,0,9,green,12,3,none,,
01/01/2026,Our Lady's Hospital Navan,0,0,0,green,0,1,none,,
01/01/2026,CHI at Crumlin,0,0,0,green,0,1,none,,
01/01/2026,CHI at Tallaght,0,0,0,green,0,0,none,,
01/01/2026,CHI at Temple Street,0,0,0,green,0,1,none,,
01/01/2026,MRH Mullingar,0,0,0,green,0,2,none,,
01/01/2026,MRH Portlaoise,0,0,0,green,0,6,none,,
01/01/2026,MRH Tullamore,0,0,0,green,35,9,red,,
01/01/2026,Naas General Hospital,3,0,3,green,0,10,red,,
01/01/2026,St. James's Hospital,3,0,3,green,0,36,red,,
01/01/2026,St. Luke's Radiation Oncology Network,,,,none,,0,none,,
01/01/2026,Tallaght University Hospital,0,0,0,green,6,8,none,,
01/01/2026,National Rehabilitation Hospital,,,,none,,5,none,,
01/01/2026,St. Columcille's Hospital,,,,none,,7,red,,
01/01/2026,St Luke's General Hospital Kilkenny,0,0,0,green,10,9,red,,
01/01/2026,St. Michael's Hospital,,,,none,,6,red,,
01/01/2026,St. Vincent's University Hospital,0,0,0,green,5,14,none,,
01/01/2026,Tipperary University Hospital,3,0,3,green,18,7,none,3,
01/01/2026,UH Waterford,0,0,0,green,0,13,none,,
01/01/2026,Wexford General Hospital,0,0,0,green,18,5,none,,
01/01/2026,Bantry General Hospital,,,,none,,11,red,,
01/01/2026,Cork University Hospital,10,2,12,green,21,18,none,1,
01/01/2026,Mallow General Hospital,,,,none,,8,red,,
01/01/2026,Mercy University Hospital,3,0,3,green,14,12,red,,
01/01/2026,South Infirmary Victoria University Hospital,,,,none,,2,none,,
01/01/2026,UH Kerry,13,5,18,red,14,23,red,4,2
01/01/2026,Ennis Hospital,,,,none,,2,none,,
